# =============================================================================
# postcode_nsw_freq.csv - Frequency table for postcodes in New South Wales
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count.
# =============================================================================

2000,8346
2007,1606
2008,2519
2009,3736
2010,10390
2011,9122
2014,224
2015,2672
2016,5097
2017,2425
2018,4114
2019,2898
2020,3258
2021,6665
2022,4765
2023,3526
2024,5034
2025,3452
2026,13606
2027,4127
2028,2234
2029,4318
2030,5230
2031,13866
2032,6006
2033,4199
2034,8405
2035,11484
2036,8375
2037,5744
2038,3768
2039,3026
2040,7992
2041,6844
2042,7329
2043,1985
2044,2581
2045,2349
2046,8930
2047,4695
2048,2986
2049,4144
2050,1960
2060,6561
2061,2667
2062,2672
2063,2290
2064,4001
2065,10707
2066,10813
2067,8394
2068,6199
2069,4699
2070,4523
2071,4229
2072,2248
2073,5420
2074,7653
2075,6481
2076,7835
2077,11288
2079,2380
2080,599
2081,1712
2082,1722
2083,832
2084,1328
2085,4143
2086,4546
2087,4546
2088,11137
2089,5302
2090,6456
2092,2352
2093,8204
2094,2551
2095,6855
2096,5934
2097,6014
2099,13887
2100,7042
2101,6722
2102,1438
2103,3821
2104,1601
2105,893
2106,3736
2107,5861
2108,1206
2110,3472
2111,5307
2112,9319
2113,6738
2114,6846
2115,2939
2116,2000
2117,6509
2118,7242
2119,3524
2120,6782
2121,8836
2122,11347
2125,4813
2126,5420
2127,985
2128,204
2130,2815
2131,7844
2132,3370
2133,3364
2134,4080
2135,7574
2136,1511
2137,6123
2138,2871
2140,2860
2141,6510
2142,5432
2143,2359
2144,7862
2145,20074
2146,5814
2147,11485
2148,17694
2150,6207
2151,7212
2152,2792
2153,15644
2154,10551
2155,6032
2156,3545
2157,1149
2158,2500
2159,1582
2160,9182
2161,7888
2162,4654
2163,3277
2164,5960
2165,9848
2166,13118
2167,1959
2168,9141
2170,22726
2171,8276
2173,3415
2176,9727
2177,3261
2190,6880
2191,1814
2192,4023
2193,4483
2194,6614
2195,6892
2196,8237
2197,2590
2198,2495
2199,4556
2200,10510
2203,5270
2204,8738
2205,4097
2206,5684
2207,7718
2208,3744
2209,4947
2210,9806
2211,5547
2212,4803
2213,6977
2214,1456
2216,7955
2217,8256
2218,4493
2219,4585
2220,8507
2221,5006
2222,3934
2223,6902
2224,4945
2225,1781
2226,4438
2227,4914
2228,6677
2229,9829
2230,11318
2231,755
2232,11741
2233,9767
2234,8632
2250,23454
2251,12138
2256,6129
2257,11533
2258,1573
2259,14041
2260,8048
2261,18467
2262,6195
2263,9801
2264,4717
2265,1676
2267,1088
2278,832
2280,9371
2281,5377
2282,5316
2283,8401
2284,3858
2285,8808
2286,1203
2287,10270
2289,6869
2290,11969
2291,5560
2292,963
2293,787
2294,677
2295,1837
2296,633
2297,646
2298,3499
2299,4100
2300,4460
2301,52
2302,137
2303,3799
2304,5954
2305,4986
2306,1185
2307,1245
2308,3
2311,452
2312,491
2315,5491
2316,2028
2317,2871
2318,3377
2319,2270
2320,7832
2321,2945
2322,4928
2323,7754
2324,7656
2325,8479
2326,2166
2327,2608
2328,838
2329,877
2330,6706
2333,4521
2334,693
2335,1498
2336,918
2337,2836
2338,600
2339,306
2340,16202
2341,651
2342,204
2343,2057
2344,271
2345,283
2346,1250
2347,960
2350,9216
2352,858
2353,331
2354,1599
2355,258
2356,62
2357,1748
2358,1529
2359,323
2360,5267
2361,422
2365,1433
2369,349
2370,3193
2371,551
2372,2034
2379,173
2380,4118
2381,567
2382,660
2386,212
2387,101
2388,1330
2390,3463
2391,2
2395,338
2396,450
2397,272
2398,120
2399,273
2400,4288
2401,145
2402,786
2403,320
2404,794
2405,294
2406,427
2408,176
2409,283
2410,94
2411,44
2415,110
2420,1700
2421,538
2422,2233
2423,1211
2424,190
2425,656
2426,257
2427,857
2428,10121
2429,3797
2430,11904
2431,1908
2439,734
2440,7769
2441,2130
2443,3867
2444,15654
2445,1816
2446,4030
2447,2468
2448,3544
2449,880
2450,14170
2452,4239
2453,1294
2454,2733
2455,1332
2456,4783
2460,10294
2462,1134
2463,2417
2464,2750
2465,152
2466,834
2469,1576
2470,4917
2471,807
2472,735
2473,1238
2474,2513
2475,157
2476,320
2477,4441
2478,10195
2479,1685
2480,16903
2481,4733
2482,2564
2483,3810
2484,6577
2485,5886
2486,10200
2487,3557
2488,1163
2489,1416
2490,267
2500,13499
2502,3733
2505,1725
2506,2284
2508,2613
2515,3949
2516,1853
2517,3855
2518,6623
2519,5418
2525,3247
2526,4837
2527,5422
2528,8179
2529,5150
2530,8578
2533,5460
2534,1975
2535,3097
2536,7542
2537,5163
2538,812
2539,7768
2540,15285
2541,9514
2545,410
2546,4084
2547,21
2548,2955
2549,1297
2550,6341
2551,1445
2558,2900
2559,959
2560,18591
2563,84
2564,3463
2565,4782
2566,7001
2567,6520
2568,242
2569,400
2570,7239
2571,2473
2572,1269
2573,1384
2574,1386
2575,4681
2576,4974
2577,5555
2578,943
2579,1197
2580,10188
2581,779
2582,3735
2583,1898
2584,217
2585,157
2586,1126
2587,1245
2588,154
2590,2957
2594,4230
2619,1834
2620,11568
2621,1667
2622,1370
2623,225
2624,35
2625,343
2626,138
2627,1517
2628,780
2630,4075
2631,303
2632,921
2633,214
2640,11514
2641,6068
2642,1772
2643,908
2644,1060
2645,236
2646,3013
2647,894
2648,1123
2649,14
2650,19650
2651,408
2652,2200
2653,985
2655,531
2656,628
2658,612
2659,382
2660,605
2661,76
2663,1579
2665,1108
2666,2424
2668,237
2669,923
2671,1784
2672,634
2675,670
2680,7844
2681,726
2684,13
2700,2230
2701,803
2702,317
2703,375
2705,3766
2706,411
2707,701
2710,4520
2711,1515
2712,646
2713,1311
2714,980
2715,725
2716,607
2717,521
2720,3055
2721,147
2722,1281
2725,180
2726,106
2727,167
2729,687
2730,672
2731,1791
2732,841
2733,306
2734,136
2735,131
2736,173
2737,300
2738,488
2739,363
2745,5614
2747,10000
2748,661
2749,3816
2750,14025
2752,1246
2753,5041
2754,1601
2755,13
2756,9756
2757,256
2758,2548
2759,7248
2760,8025
2761,6334
2762,1053
2763,6547
2765,4184
2766,3446
2767,4930
2768,3987
2770,15477
2773,1914
2774,4134
2775,755
2776,1281
2777,5873
2778,782
2779,1485
2780,5085
2782,2195
2783,900
2784,378
2785,2011
2786,537
2787,1614
2790,5489
2791,141
2792,170
2793,430
2794,4271
2795,12632
2797,205
2798,568
2799,1351
2800,14119
2803,132
2804,1133
2805,166
