# =============================================================================
# suburb_act_freq.csv - Frequency table for suburbs in the ACT
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

acton,13
ainslie,1968
amaroo,1163
aranda,948
banks,1132
barton,204
belconnen,1229
bonython,1144
boorowa,4
braddon,1262
brindabella,23
bruce,778
bywong,67
calwell,1928
campbell,1343
canberra,235
canberra_city,298
chapman,1037
charnwood,1050
chifley,1031
chisholm,1719
civic_square,4
conder,1323
cook,1298
cotter_dam,3
curtin,2162
deakin,1279
dickson,810
downer,1400
duffy,1218
dunlop,910
duntroon,107
emu_ridge,49
erindale_centre,2
evatt,1979
fadden,1060
fairbairn,3
farrer,1343
fisher,1288
florey,1715
flynn,1206
forrest,444
fraser,739
fyshwick,125
garran,1174
gilmore,883
giralang,1257
gordon,2393
gowrie,1052
greenway,415
griffith,1747
gungahlin,65
gunning,8
hackett,1220
hall,457
harman,25
hawker,1225
higgins,1138
hmas_harman,2
holder,1105
holt,1905
hughes,1245
hume,19
isaacs,974
isabella_plains,1373
kaleen,2618
kambah,5781
kingston,1044
latham,1352
lyneham,1836
lyons,1111
macarthur,479
macgregor,1202
macquarie,954
manuka,41
mawson,1290
mckellar,876
melba,1228
mitchell,33
monash,1934
mount_stromlo,18
narrabundah,2315
ngunnawal,3101
nicholls,1809
o'connor,2017
o'malley,262
oaks_estate,123
oxley,600
page,1182
palmerston,1912
pearce,1040
phillip,800
pialligo,84
radcliffe,31
red_hill,1223
reid,723
richardson,1021
rivett,1240
scullin,1160
spence,923
stirling,781
swinger_hill,170
symonston,77
tharwa,107
the_mullion,24
theodore,1245
tidbinbilla,4
top_naas,10
torrens,857
tuggeranong,9
turner,829
uriarra,5
uriarra_forest,26
wanniassa,2870
waramanga,1091
watson,1590
weetangera,995
weston,1417
weston_creek,20
woden,42
yarralumla,1290
