# =============================================================================
# suburb_nsw_freq.csv - Frequency table for suburbs in New South Wales
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

abbotsbury,770
abbotsford,2068
abercrombie,44
aberdare,561
aberdeen,833
aberfoyle,14
aberglasslyn,438
abermain,744
abernethy,67
acacia_creek,5
acacia_gardens,262
acacia_plateau,4
adaminaby,260
adamstown,2326
adamstown_heights,1752
adelong,501
adjungbilly,36
afterlee,13
agnes_banks,188
airds,822
akolele,39
akuna_bay,3
albert,59
albion_park,3261
albion_park_rail,2138
albury,6888
albury_east,490
albury_north,1877
aldavilla,279
alectown,90
alexandria,2666
alfords_point,859
alison,10
allambie,495
allambie_heights,1874
allandale,37
allawah,1379
alleena,32
allworth,62
allynbrook,30
alma_park,22
alphadale,20
alpine,44
alstonvale,5
alstonville,2768
amaroo,6
ambarvale,1782
amesbury,7
ana_branch,12
ando,50
anembo,27
angledale,25
anglers_reach,68
angourie,121
anna_bay,1449
annandale,3768
annangrove,350
appin,520
apple_tree_flat,11
apsley,2
arakoon,118
araluen,76
araluen_north,3
arcadia,468
arcadia_vale,515
ardglen,10
arding,55
ardlethan,269
argalong,6
argenton,516
argents_hill,49
argoon,6
argyle,19
ariah_park,263
armatree,62
armidale,8382
arncliffe,3830
arndell_park,45
arrawarra,182
arrawarra_headland,43
artarmon,4001
arthurville,17
arumpo,9
ashbury,946
ashby,152
ashby_island,2
ashcroft,849
ashfield,7844
ashford,339
ashley,108
ashmont,468
ashtonfield,1033
asquith,1163
atholwood,11
attunga,283
auburn,7862
auburn_vale,5
audley,8
austinmer,936
austral,638
austral_eden,51
avalon,2965
avalon_beach,386
avisford,3
avoca,51
avoca_beach,1854
avoca_beach_north,17
avoca_north,423
avondale,3
awaba,134
aylmerton,68
baan_baa,94
babyl_creek,2
backmede,33
backwater,5
badgerys_creek,160
baerami,34
baerami_creek,16
bagnoo,24
bago_lower,12
bagotville,13
bakers_swamp,33
balala,13
balarang,11
balcolyn,316
baldry,49
balfours_peak,6
balgowlah,3751
balgowlah_heights,837
balgownie,1953
balladoran,35
ballalaba,42
balldale,99
ballengarra,19
ballimore,80
ballina,5314
ballina_east,1788
balmain,5572
balmain_east,258
balmoral,1023
balmoral_village,79
balranald,724
bambilla,7
banar,10
bandon_grove,47
bangalow,766
bangor,1732
banksia,703
banksmeadow,96
bankstown,7994
bankstown_aerodrome,2
bankstown_north,4
bankstown_square,3
bannaby,18
bannister,48
banoon,3
banora_point,5378
bar_beach,538
bar_point,75
baradine,419
barden_ridge,402
bardouroka,2
bardwell_park,652
bardwell_valley,63
barellan,267
bargo,1072
barham,740
barham_north,3
barkers_vale,55
barmedman,216
barmedman_east,21
barnsley,583
barooga,544
barraba,850
barrack_heights,1953
barrack_point,289
barraga_bay,20
barraganyatti,29
barrallier,8
barrengarry,63
barretts_creek,3
barrier,8
barrington,166
barringun,6
barry,72
barryreenie,3
barwick,15
baryulgil,41
basin_view,497
bass_hill,2590
batar_creek,12
bateau_bay,4221
batehaven,1224
batemans_bay,1711
bathurst,7653
bathurst_west,2
batlow,628
baulkham_hills,11520
baulkham_hills_west,75
bawley_point,439
bayldon,727
bayswater,36
bayview,1601
beacon_hill,2470
beaconsfield,224
bearbung,2
beargamil,15
beaumont,66
beaury_creek,7
beauty_point,222
beckom,101
bectric,20
bedgerebong,79
beechwood,363
beecroft,2800
beelbangera,175
bega,2203
belbora,58
belfield,1814
belford,92
belfrayden,4
belgravia,9
belimbla_park,92
bell,22
bella_vista,361
bellambi,1129
bellangry,79
bellata,258
bellawongarah,37
bellbird,748
bellbird_heights,73
bellbrook,114
bellevue_hill,3526
bellimbopinni,22
bellingen,1504
bellmount_forest,17
belltrees,3
belmont,2860
belmont_north,2566
belmont_south,436
belmore,3844
belmore_river,74
belrose,3223
belubula,7
bemboka,246
ben_bullen,22
ben_lomond,104
ben_venue,80
benandarah,37
bendalong,93
bendemeer,222
bendick_murrell,66
bendolba,12
benerembah,84
beni,29
benneree,7
bennetts_green,13
bensville,662
bentley,113
benwerrin,2
berala,2250
berambing,48
beranghi,3
beresfield,1149
bergalia,56
berkeley,2284
berkeley_vale,3206
berkshire_park,291
bermagui,865
bermagui_south,64
berowra,1512
berowra_heights,1587
berowra_waters,135
berrara,243
berremangra,22
berrico,38
berridale,535
berrigan,616
berrilee,89
berrima,353
berrima_west,3
berrimbool,6
berringer,5
berry,1243
berry_park,10
berthong,16
beryl,8
bethungra,90
bethungra_south,13
bevendale,13
beverley_park,526
beverly_hills,3082
bewong,4
bexhill,150
bexley,6115
bexley_north,887
biala,20
bibbenluke,63
bickley_vale,2
biddon,8
bidgeemia,23
bidwill,1178
big_hill,10
big_jacks_creek,19
big_springs,42
bigga,116
bilambil,177
bilambil_heights,1048
bilbul,199
bilgola,244
bilgola_beach,18
bilgola_plateau,949
billimari,49
billinudgel,174
billys_creek,21
bilpin,299
bimbaya,4
bimbi,31
binalong,217
binda,111
bindogundra,37
bingara,777
bingie,75
biniguy,67
binna_burra,79
binnaway,310
binni_creek,2
binnia,4
binya,72
birchgrove,1014
birdwood,15
birmingham_gardens,781
birrego,9
birriwa,31
birrong,918
birubi_point,36
bishops_bridge,86
bishops_creek,13
bithramere,50
black_creek,10
black_hill,181
black_mountain,80
black_springs,85
black_stump,6
black_swamp,12
blackalls,22
blackalls_park,959
blackbutt,418
blackett,1148
blackheath,1937
blackmans_flat,6
blackmans_point,48
blacksmiths,716
blacktown,13292
blackville,60
blackwall,300
blair_athol,209
blairmore,2
blairmount,71
blakebrook,13
blakehurst,2104
blakney_creek,34
bland,7
blandford,99
blanket_flat,4
blaxland,2478
blaxlands_creek,15
blaxlands_flat,7
blaxlands_ridge,50
blayney,1119
bletchington,89
bligh_park,1815
blighty,92
blow_clear,8
blue_bay,142
blue_haven,1427
blue_knob,50
blueys_beach,80
bluff_rock,3
boambee,1521
boat_harbour,366
bobadah,8
bobbin_head,4
bobin,43
bobs_farm,160
bobundara,12
bocoble,67
bodalla,264
bodangora,14
boeill_creek,8
bogan_gate,129
bogangar,855
bogee,23
boggabilla,283
boggabri,630
bohena,13
bohnock,50
bokhara,4
bolivia,33
bolong,29
bolton_point,696
bolwarra,445
bolwarra_heights,374
bomaderry,2606
bombah_point,2
bombala,721
bombay,2
bombira,9
bombo,57
bonalbo,201
bondi,8792
bondi_beach,2081
bondi_junction,4435
bondi_south,2
bonnells_bay,1376
bonnet_bay,846
bonny_hills,844
bonnyrigg,3078
bonnyrigg_heights,183
bonshaw,71
bonville,621
bonville_north,12
book_book,24
booker_bay,555
bookham,80
boolambayte,20
boolaroo,469
booligal,55
boomanoomana,30
boomerang_beach,111
boomi,118
boomi_creek,6
boona_mount,19
boonoo_boonoo,2
booragul,775
booral,142
boorganna,3
boorie_creek,22
boorolong,13
booroorban,22
boorowa,737
boorowa_north,7
bootawa,20
booyong,67
bora_ridge,33
borah_tank,3
borambil,6
borambola,53
boree_creek,117
borenore,146
boro,10
boronia_park,28
bossley_park,3155
bostobrick,52
botany,2775
botobolar,16
bottle_creek,2
bourke,1039
bourkelands,165
bournda,2
bournewood,3
bow_bowing,422
bowen,119
bowen_mountain,448
bowenfels,93
bowling_alley_point,5
bowman_farm,6
bowmans_creek,5
bowna,50
bowning,203
bowral,3876
bowraville,764
box_hill,321
boydtown,3
brackendale,2
bradbury,2243
bradfordville,205
braemar,73
braidwood,883
branxton,936
brassi,11
braunstone,61
brawboy,6
brawlin,21
bray_park,287
brays_creek,26
brayton,39
breadalbane,59
bredbo,126
breelong,2
breeza,65
bretti,2
brewarrina,423
brewer,4
brewongle,29
brianderry,3
bribbaree,85
brierfield,103
briggsvale,3
brighton,2947
brightwaters,310
bringelly,629
bringenbrong,4
broadmeadow,819
broadwater,213
broadway,4
brocklehurst,106
brocklesby,90
brodies_plains,5
brogans_creek,2
brogo,200
broke,252
broken_head,91
broken_hill,8401
brombin,32
bronte,1637
brookdale,9
brookfield,52
brooklana,4
brooklet,94
brooklyn,349
brookvale,937
brooman,13
brooms_head,168
broughton,18
broughton_vale,40
broula,4
broulee,740
browns_creek,15
brownsville,190
brucedale,30
bruie_plains,21
brundah,2
brundee,30
brungle,73
brunkerville,54
brunswick_heads,791
brush_creek,22
brushgrove,191
bruton,10
bruxner_park,2
bucca,5
bucca_wauka,25
buccarumbi,12
buchanan,60
buckajo,23
buckaroo,16
buckendoon,10
bucketty,68
budgee_budgee,13
budgewoi,2211
budgong,28
buff_point,1173
bugaldie,52
bukalong,4
bukkulla,32
bulahdelah,586
bulby_brush,15
bulga,133
bulgandramine,7
bulgandry,3
bulgary,17
bulla_creek,9
bullaburra,378
bulli,1853
bulliac,13
bullio,4
bumbaldry,33
bumberry,3
bunda,2
bundabah,48
bundaburrah,21
bundanoon,943
bundarra,317
bundeena,775
bundella,20
bundgeam,6
bundook,25
bundure,14
bunga,12
bungan_head,3
bungarby,28
bungawalbin,50
bungawalbyn,5
bungendore,1315
bungonia,206
bungowannah,66
bungulla,6
bungwahl,138
bunnaloo,41
bunnan,59
bunyah,61
bunyan,34
burcher,40
burdett,3
bureen,11
burinegeel,5
burnt_yards,15
buronga,363
burra,15
burra_creek,291
burraboi,23
burradoo,879
burraga,82
burragate,48
burrandana,3
burraneer,307
burrapine,18
burrawang,180
burrell_creek,125
burren_junction,212
burrier,25
burrill_lake,601
burringbar,361
burrinjuck,8
burrumbuttock,142
burrundulla,2
burtundy,2
burwood,4080
burwood_heights,121
busby,1083
buttaba,323
buttai,14
buxton,469
byabarra,122
byangum,36
bylong,46
byng,10
byrill_creek,2
byrock,21
byron_bay,2749
byrrill_creek,9
cabarita,504
cabarita_beach,298
cabbage_tree_island,7
cabramatta,6478
cabramatta_west,910
cabramurra,3
caffreys_flat,7
cainbil,2
calala,108
calare,95
calderwood,4
caldwell,28
calga,36
calimo,8
callaghan,2
callala_bay,711
callala_beach,466
calliope,17
caloola,20
camberwell,53
cambewarra,693
cambewarra_west,126
cambridge_gardens,293
cambridge_hills,10
cambridge_park,2112
camden,2981
camden_downs,20
camden_east,55
camden_haven,2
camden_head,26
camden_park,3
camden_south,733
camellia,4
camira_creek,8
cammeray,2672
campbells_hill,34
campbelltown,3696
camperdown,1960
campsie,6614
campvale,6
cams_wharf,23
canada_bay,333
canadian_lead,3
canbelego,19
candelo,337
cangai,11
caniaba,110
canley_heights,2068
canley_vale,2965
canobolas,69
canoelands,52
canowindra,1033
canterbury,1971
canton_beach,111
canyonleigh,151
caparra,8
capeen,5
capertee,98
captains_flat,225
carabost,26
caragabal,87
carawandool,12
carcalgong,8
carcoar,140
cardiff,2644
cardiff_heights,353
cardiff_north,10
cardiff_south,799
careel_bay,56
careunga,5
carey_bay,419
cargo,173
carinda,82
caringbah,8170
caringbah_north,4
caringbah_south,9
carlingford,7239
carlton,3114
carnes_hill,13
caroda,25
carool,77
caroona,86
carrabolla,5
carramar,1000
carrathool,68
carrawabbity,2
carrawobitty,7
carrington,677
carroboblin,13
carroll,100
carrowbrook,19
carrs_creek,17
carrs_island,3
carss_park,332
cartwright,674
cartwrights_hill,12
cascade,4
casino,3809
cassilis,139
castle_cove,861
castle_doyle,4
castle_hill,10551
castle_rock,23
castlecrag,1055
castlereagh,311
casula,3211
catalina,308
catalina_heights,3
cathcart,61
catherine_field,350
catherine_hill_bay,93
cattai,210
cavan,16
caves_beach,1462
cawdor,78
cawongla,110
cecil_hills,1085
cecil_park,194
cedar_brush_creek,5
cedar_creek,12
cedar_party_creek,60
cedar_point,61
centennial_park,1011
central_bucca,75
central_macdonald,11
central_mangrove,81
central_tilba,120
central_wattagan,4
cessnock,4588
cessnock_east,41
cessnock_south,69
cessnock_west,119
chain_valley_bay,768
chakola,9
chambigne,10
charbon,39
charing_cross,2
charity_creek,10
charlestown,4710
charleyong,5
charleys_forest,9
charmhaven,862
chatham,209
chatsbury,12
chatswood,8306
chatswood_west,88
chatsworth_island,74
cheero_point,2
cheesemans_creek,6
cheltenham,724
cherry_tree_hill,27
cherrybrook,5420
chester_hill,2993
chichester,10
chifley,967
chillcots_grass,47
chillingham,209
chinderah,556
chippendale,2138
chipping_norton,2256
chiswick,681
chittaway_bay,300
chittaway_point,647
chiverton,14
chowan_creek,3
chullora,109
church_point,440
clair_valley,3
clandulla,83
claremont_meadows,158
clarence,87
clarence_town,558
clarendon,30
clarenza,89
clareville,773
clareville_beach,11
claymore,888
clear_hills,2
clemton_park,44
clergate,51
cliftleigh,68
clifton,23
clifton_gardens,226
clifton_grove,207
clontarf,648
clothiers_creek,54
clovass,57
clovelly,2186
clover_hill,3
clunes,344
clybucca,88
clyde,12
clydesdale,17
coal_point,636
coalbaggie,10
coalcliff,76
coaldale,25
coasters_retreat,6
cobaki,43
cobar,1654
cobargo,408
cobbadah,21
cobbitty,311
cobbora,23
cockatoo_island,4
codrington,21
coffee_camp,43
coffs_harbour,9352
cogra_bay,11
coila,9
coleambally,695
colebee,3
coledale,441
colinroobie,33
colinton,12
collarenebri,290
collaroy,3374
collaroy_beach,27
collaroy_plateau,1992
collector,87
collendina,32
collerina,7
colletts_island,3
collie,64
collingullie,101
collins_creek,19
collombatti,91
collombatti_rail,43
colly_blue,2
colo,26
colo_heights,105
colo_vale,498
