# =============================================================================
# surname_act_freq.csv - Frequency table for surnames in the ACT
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count.
# =============================================================================

aarons,2
abberton,2
abbey,18
abbot,3
abbott,27
abdel,2
abdilla,2
abel,5
abell,2
abello,3
abercrombie,3
abernethy,6
abeyaratne,2
abhayaratna,4
abigail,2
ablamowicz,2
ablett,5
abma,2
aboud,2
abraham,12
abrahams,11
abramovic,5
abrams,3
absolom,3
absolon,3
achdiat,2
acheampong,3
achilles,2
ackermann,3
ackland,6
acland,2
acton,2
actquinta,3
acworth,2
ada,2
adair,3
adam,30
adamczewski,3
adamik,2
adams,117
adamson,26
adcock,14
addison,11
addo,2
adele,2
adhami,2
adhikari,2
adiraju,3
adlam,2
adler,7
adlington,2
adriaanse,3
adzic,2
aedy,2
aeuckens,2
affleck,2
agafonoff,2
agerbeek,4
aggarwal,4
aghan,2
agius,8
agland,3
agnello,7
agnew,18
agostinis,4
agostino,5
aguilar,4
aguilera,5
ahadizad,4
ahearn,10
ahern,14
ahmad,5
ahmed,7
ahn,2
aichinger,2
aifantis,3
aigner,3
aiken,4
aikins,2
aikman,4
ainge,3
ainscough,4
ainsworth,7
aird,4
aire,2
airey,2
aisbitt,3
aitchison,13
aitken,13
aitkenhead,3
aitkin,3
aizawa,2
ajaj,2
akbari,3
aked,2
akehurst,3
akerlind,2
akeroyd,4
akers,6
akhmediev,3
akhurst,3
akister,2
akmacic,2
al,7
alabaster,4
alameddine,2
alarcon,6
albahsh,2
albarece,2
albert,2
alberto,3
alberts,3
albiez,4
alblas,2
albrecht,8
albuk,2
alcazar,4
alchin,17
alcock,13
alcorn,2
aldcroft,3
alder,6
alderman,3
alderson,9
aldoiu,2
aldons,3
aldred,3
aldridge,11
aleksic,5
alexander,54
alexandris,2
alfano,4
alferink,3
alfonso,2
alford,9
alfredson,3
ali,18
alix,2
allais,4
allan,67
allanson,3
allard,4
allardyce,5
allars,3
allen,179
allenby,4
allende,4
alley,8
alling,3
allison,17
allnutt,7
allport,2
allpress,2
allsopp,4
allum,4
allwright,3
almeida,2
almond,4
aloe,3
aloisi,5
alomes,2
alonso,3
alpen,2
alsford,3
alsop,2
alston,9
alt,2
althaus,2
althorp,2
altinger,2
altman,2
altmann,3
altus,2
alvanos,6
alvarez,9
alvaro,2
alves,8
amadio,2
amann,3
amar,2
amarathithada,2
amato,5
ambler,2
ambrose,11
ambrus,2
amburger,2
ames,2
amey,3
amies,2
amin,3
ammerpohl,2
ammon,3
amoako,2
amorsen,2
amos,13
amphlett,2
amsteins,2
