# =============================================================================
# surname_nsw_freq.csv - Frequency table for surnames in New South Wales
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

aad,3
aafjes,3
aagesen,2
aalbers,3
aalbrecht,2
aalders,13
aalto,5
aaltonen,4
aam,2
aamir,2
aantjes,3
aarden,2
aaron,35
aarons,36
aaronson,2
aarsen,5
aarts,16
aartsen,6
aasa,2
aashur,2
aaso,3
aassar,3
aavik,6
aaw,2
abaad,3
abad,11
abadam,3
abade,4
abadee,8
abadeer,3
abadi,6
abadie,3
abadier,3
abadijr,4
abadir,7
abae,2
abagi,5
abaid,2
abal,4
abali,3
abalo,7
abalos,6
aban,2
abanto,2
abarca,14
abarno,3
abas,7
abass,4
abassi,5
abate,5
abawi,12
abayasekara,5
abaza,2
abba,6
abbas,102
abbasi,13
abbassi,2
abbatantuono,2
abbate,20
abbattista,2
abbenbroek,6
abbenhues,3
abberfield,28
abberton,33
abbes,5
abbess,2
abbey,69
abbiss,4
abbo,3
abbon,2
abbonizio,10
abbot,25
abbott,668
abbotts,6
abbottsmith,10
abboud,120
abbruzzo,2
abbs,9
abcede,3
abd,4
abdailah,2
abdal,5
abdala,2
abdalallah,2
abdalla,16
abdallah,109
abdallaoui,2
abdallh,2
abdaly,4
abdat,4
abdel,49
abdelahad,2
abdelaziz,2
abdelfattah,3
abdelghaffar,2
abdelghany,2
abdelkader,2
abdelkafi,2
abdelkarim,3
abdellatif,3
abdelmalak,4
abdelmalek,19
abdelmalik,7
abdelmasih,3
abdelmassih,2
abdelmessih,8
abdelmissih,2
abdelnour,6
abdelqader,2
abdelrahman,4
abdelsalam,2
abdelsayed,5
abdelwahed,3
abden,2
abdennour,8
abdi,25
abdilla,28
abdillah,2
abdine,3
abdipranoto,3
abdisho,4
abdishou,6
abdlu,2
abdnoor,2
abdo,47
abdoalla,2
abdolghafari,2
abdollahi,5
abdoo,22
abdou,16
abdow,4
abdu,4
abdul,95
abdula,2
abdulahad,7
abdulbaki,3
abduljabbar,2
abdulkader,8
abdulkadir,2
abdulkaren,2
abdulkarim,7
abdulla,15
abdullah,52
abdullahi,3
abdullatif,3
abdulrahim,4
abdulrahman,9
abdulwahab,9
abdulwahed,6
abdur,2
abdurahman,5
abdus,2
abdy,3
abe,18
abebe,2
abeckett,13
abed,15
abedi,5
abedin,7
abednego,2
abegg,2
abel,151
abela,203
abelas,4
abele,5
abeleda,2
abelev,2
abeleven,5
abelgas,2
abelitis,3
abell,75
abella,11
abellana,3
abello,8
abels,4
abelsohn,4
abend,4
abeni,5
aber,6
aberaham,3
abercrombie,55
abercromby,2
aberdeen,6
aberg,3
abergas,3
aberhart,4
aberin,2
aberle,2
aberley,14
aberline,5
abernathy,4
aberneathy,2
abernethy,53
abery,10
abeshouse,17
abey,10
abeya,2
abeyagunewardena,2
abeyakoon,4
abeyaratne,3
abeyasekera,2
abeyasingha,2
abeyesekere,2
abeykoon,2
abeynaike,2
abeysekera,6
abeysinghe,6
abeysiri,2
abeywickrama,2
abhari,3
abhayawardhana,2
abhilash,3
abhishek,2
abi,56
abiad,5
abiassaf,2
abibadra,2
abicair,2
abicht,3
abicic,2
abid,4
abidin,6
abigail,13
abignano,7
abihanna,6
abikhair,3
abikhalil,7
abikhattar,2
abiko,4
abisassine,2
abkar,3
