# =============================================================================
# Training data for name component
# Use this to train a name HMM using pyTrainHMM.py
#
# Created 31/08/2002, Peter Christen
#
# Based on training records from the NSW MDC
#
# Contains 1000 training examples

   GF:gname1, AN:sname1
   GF:gname1, GF:gname2, PR:pref1, UN:sname1
   GF:gname1, GF:gname2, PR:pref1, UN:sname1
   GF:gname1, GF:gname2, SN:sname1
   GF:gname1, GF:gname2, SN:sname1
   GF:gname1, GF:gname2, SN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:gname2, UN:sname1
   GF:gname1, GF:sname1
   GF:gname1, GF:sname1
   GF:gname1, GF:sname1
   GF:gname1, GF:sname1
   GF:gname1, GF:sname1
   GF:gname1, GF:sname1
   GF:gname1, GF:sname1
   GF:gname1, GF:sname1
   GF:gname1, GF:sname1
   GF:gname1, GM:gname2, UN:sname1
   GF:gname1, GM:gname2, UN:sname1
   GF:gname1, GM:gname2, UN:sname1
   GF:gname1, GM:gname2, UN:sname1
   GF:gname1, GM:gname2, UN:sname1
   GF:gname1, GM:gname2, UN:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, GM:sname1
   GF:gname1, HY:ghyph, GF:gname2, UN:sname1
   GF:gname1, HY:ghyph, GF:gname2, UN:sname1
   GF:gname1, HY:ghyph, GF:gname2, UN:sname1
   GF:gname1, HY:ghyph, GF:gname2, UN:sname1
   GF:gname1, HY:ghyph, GM:gname2, GM:sname1, HY:shyph, GF:sname2
   GF:gname1, HY:ghyph, UN:gname2, UN:sname1, HY:shyph, UN:sname2
   GF:gname1, II:agname1, GM:sname1
   GF:gname1, II:agname1, UN:sname1
   GF:gname1, II:agname1, UN:sname1
   GF:gname1, II:agname1, UN:sname1
   GF:gname1, II:agname1, UN:sname1
   GF:gname1, II:agname1, UN:sname1
   GF:gname1, II:agname1, UN:sname1
   GF:gname1, II:agname1, UN:sname1
   GF:gname1, II:agname1, UN:sname1
   GF:gname1, PR:gname2, UN:sname1
   GF:gname1, PR:gname2, UN:sname1
   GF:gname1, PR:pref1, SN:sname1
   GF:gname1, PR:pref1, UN:sname1
   GF:gname1, PR:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1
   GF:gname1, SN:sname1, GM:sname2
   GF:gname1, SN:sname1, UN:sname2
   GF:gname1, TI:sname1
   GF:gname1, UN:gname2, GF:sname1
   GF:gname1, UN:gname2, GM:sname1
   GF:gname1, UN:gname2, GM:sname1
   GF:gname1, UN:gname2, GM:sname1
   GF:gname1, UN:gname2, SN:sname1
   GF:gname1, UN:gname2, SN:sname1
   GF:gname1, UN:gname2, SN:sname1
   GF:gname1, UN:gname2, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1
   GF:gname1, UN:gname2, UN:sname1, HY:shyph, UN:sname2
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
   GF:gname1, UN:sname1
